"district"	"UC_GRADS"	"GRADS"	"YEAR"	"PERCENT_UC"
"122"	64683	482	759	1998	63.5046113306983
"123"	61424	325	756	1998	42.989417989418
"124"	64329	312	750	1998	41.6
"125"	75069	217	746	1998	29.088471849866
"126"	64287	195	736	1998	26.4945652173913
"127"	65243	182	732	1998	24.8633879781421
"128"	65482	389	729	1998	53.360768175583
"129"	10306	1	727	1998	0.137551581843191
"130"	73924	427	722	1998	59.1412742382271
"131"	71316	149	720	1998	20.6944444444444
"132"	64865	560	718	1998	77.9944289693593
"133"	75499	264	697	1998	37.8766140602582
"134"	75077	177	693	1998	25.5411255411255
"135"	61143	465	685	1998	67.8832116788321
"136"	71464	132	674	1998	19.5845697329377
"137"	32276	3	670	1998	0.447761194029851
"138"	64774	324	670	1998	48.3582089552239
"139"	63115	88	658	1998	13.3738601823708
"140"	69641	477	644	1998	74.0683229813665
"141"	69070	173	632	1998	27.373417721519
"142"	61309	152	614	1998	24.7557003257329
"143"	70862	246	609	1998	40.3940886699507
"144"	68759	172	596	1998	28.8590604026846
"145"	73387	122	589	1998	20.7130730050934
"146"	64634	212	584	1998	36.3013698630137
"147"	66092	118	582	1998	20.2749140893471
"148"	64873	50	576	1998	8.68055555555556
"149"	73791	200	576	1998	34.7222222222222
"150"	64527	145	573	1998	25.3054101221641
"151"	61721	180	572	1998	31.4685314685315
"152"	61119	193	569	1998	33.9191564147627
"153"	69583	162	564	1998	28.7234042553192
"154"	71043	58	563	1998	10.3019538188277
"155"	69609	303	561	1998	54.0106951871658
"156"	67959	233	560	1998	41.6071428571429
"157"	67538	187	558	1998	33.5125448028674
"158"	68122	152	556	1998	27.3381294964029
"159"	69534	347	547	1998	63.436928702011
"160"	75200	156	545	1998	28.6238532110092
"161"	73551	288	541	1998	53.2347504621072
"162"	65094	149	533	1998	27.9549718574109
"163"	73965	134	533	1998	25.140712945591
"164"	69229	224	532	1998	42.1052631578947
"165"	69856	137	526	1998	26.0456273764259
"166"	68809	208	517	1998	40.2321083172147
"167"	61234	210	514	1998	40.8560311284047
"168"	63925	165	507	1998	32.5443786982249
"169"	73676	62	507	1998	12.2287968441815
"170"	68569	205	505	1998	40.5940594059406
"171"	72710	148	505	1998	29.3069306930693
"172"	61150	215	503	1998	42.7435387673956
"173"	63412	74	503	1998	14.7117296222664
"174"	64394	265	503	1998	52.6838966202783
"175"	64279	70	501	1998	13.9720558882236
"176"	70607	206	500	1998	41.2
"177"	72678	333	498	1998	66.8674698795181
"178"	64576	270	495	1998	54.5454545454545
"179"	61515	123	490	1998	25.1020408163265
"180"	65417	241	487	1998	49.4866529774127
"181"	75333	260	468	1998	55.5555555555556
"182"	62414	103	455	1998	22.6373626373626
"183"	64311	283	455	1998	62.1978021978022
"184"	75341	143	448	1998	31.9196428571429
"185"	75242	114	442	1998	25.7918552036199
"186"	64378	201	440	1998	45.6818181818182
"187"	62265	121	438	1998	27.6255707762557
"188"	73957	70	438	1998	15.9817351598174
"189"	68304	356	437	1998	81.4645308924485
"190"	65615	134	434	1998	30.8755760368664
"191"	62687	187	430	1998	43.4883720930233
"192"	75515	110	421	1998	26.1282660332542
"193"	67777	89	417	1998	21.3429256594724
"194"	72736	60	415	1998	14.4578313253012
"195"	69484	103	414	1998	24.8792270531401
"196"	75564	100	407	1998	24.5700245700246
"197"	61788	49	405	1998	12.0987654320988
"198"	73882	140	405	1998	34.5679012345679
"199"	65466	182	402	1998	45.273631840796
"200"	70524	203	402	1998	50.4975124378109
"201"	66449	149	400	1998	37.25
"202"	73825	227	396	1998	57.3232323232323
"203"	73940	181	395	1998	45.8227848101266
"204"	65052	124	389	1998	31.8766066838046
"205"	67868	130	387	1998	33.5917312661499
"206"	63099	82	384	1998	21.3541666666667
"207"	67355	98	377	1998	25.9946949602122
"208"	66951	143	373	1998	38.3378016085791
"209"	63982	96	372	1998	25.8064516129032
"210"	64790	126	371	1998	33.9622641509434
"211"	61291	119	369	1998	32.2493224932249
"212"	68700	185	363	1998	50.9641873278237
"213"	65755	111	355	1998	31.2676056338028
"214"	75457	155	353	1998	43.9093484419263
"215"	73742	92	351	1998	26.2108262108262
"216"	67611	41	349	1998	11.7478510028653
"217"	71639	131	347	1998	37.7521613832853
"218"	61531	85	330	1998	25.7575757575758
"219"	64444	101	323	1998	31.2693498452012
"220"	72389	90	320	1998	28.125
"221"	75291	124	319	1998	38.871473354232
"222"	66068	37	317	1998	11.6719242902208
"223"	64659	223	311	1998	71.7041800643087
"224"	64295	76	309	1998	24.5954692556634
"225"	70953	123	306	1998	40.1960784313725
"226"	75085	167	306	1998	54.5751633986928
"227"	73973	135	302	1998	44.7019867549669
"228"	75531	46	297	1998	15.4882154882155
"229"	64964	260	295	1998	88.135593220339
"230"	61739	119	294	1998	40.4761904761905
"231"	72595	82	293	1998	27.9863481228669
"232"	64469	57	292	1998	19.5205479452055
"233"	72694	33	288	1998	11.4583333333333
"234"	62430	62	287	1998	21.602787456446
"235"	66944	135	286	1998	47.2027972027972
"236"	73981	82	286	1998	28.6713286713287
"237"	71928	83	279	1998	29.7491039426523
"238"	63826	59	275	1998	21.4545454545455
"239"	72520	82	271	1998	30.2583025830258
"240"	63081	113	266	1998	42.4812030075188
"241"	62810	84	265	1998	31.6981132075472
"242"	65029	171	265	1998	64.5283018867924
"243"	63859	97	262	1998	37.0229007633588
"244"	62521	88	261	1998	33.7164750957854
"245"	10330	4	257	1998	1.55642023346304
"246"	69807	78	255	1998	30.5882352941176
"247"	73734	108	254	1998	42.5196850393701
"248"	66969	102	247	1998	41.2955465587045
"249"	70565	139	244	1998	56.9672131147541
"250"	75093	61	244	1998	25
"251"	10249	0	243	1998	0
"252"	61903	186	243	1998	76.5432098765432
"253"	75275	75	234	1998	32.0512820512821
"254"	64139	59	232	1998	25.4310344827586
"255"	71860	88	232	1998	37.9310344827586
"256"	69328	88	229	1998	38.4279475982533
