"district"	"ENROLL_TOTAL"	"ENROLL_MEAN"	"GR_Kto5_TOTAL"	"GR_Kto5_MEAN"	"GR_6to8_TOTAL"	"GR_6to8_MEAN"	"GR_9to12_TOTAL"	"GR_9to12_MEAN"	"YEAR"
"76"	61382	146	16.2222222222222	94	10.4444444444444	52	5.77777777777778	0	0	1998
"77"	61408	822	29.3571428571429	344	12.2857142857143	219	7.82142857142857	237	8.46428571428571	1998
"78"	61424	14225	56.6733067729084	6369	25.3745019920319	3494	13.9203187250996	4362	17.3784860557769	1998
"79"	61432	1348	39.6470588235294	556	16.3529411764706	340	10	452	13.2941176470588	1998
"80"	61440	37	6.16666666666667	30	5	7	1.16666666666667	0	0	1998
"81"	61457	243	14.2941176470588	148	8.70588235294118	95	5.58823529411765	0	0	1998
"82"	61499	240	40	164	27.3333333333333	76	12.6666666666667	0	0	1998
"83"	61507	3401	41.9876543209877	2220	27.4074074074074	1127	13.9135802469136	0	0	1998
"84"	61515	2749	56.1020408163265	0	0	0	0	2749	56.1020408163265	1998
"85"	61523	1335	41.71875	884	27.625	451	14.09375	0	0	1998
"86"	61531	5596	53.8076923076923	2380	22.8846153846154	1379	13.2596153846154	1831	17.6057692307692	1998
"87"	61549	1550	45.5882352941176	1043	30.6764705882353	507	14.9117647058824	0	0	1998
"88"	61556	902	32.2142857142857	0	0	0	0	898	32.0714285714286	1998
"89"	61564	3888	48.6	1697	21.2125	949	11.8625	1242	15.525	1998
"90"	61572	777	32.375	514	21.4166666666667	255	10.625	0	0	1998
"91"	61580	1043	32.59375	632	19.75	409	12.78125	0	0	1998
"92"	61598	1586	33.0416666666667	695	14.4791666666667	339	7.0625	534	11.125	1998
"93"	61606	438	23.0526315789474	186	9.78947368421053	115	6.05263157894737	137	7.21052631578947	1998
"94"	61614	1142	30.8648648648649	511	13.8108108108108	265	7.16216216216216	366	9.89189189189189	1998
"95"	61622	971	51.1052631578947	461	24.2631578947368	223	11.7368421052632	287	15.1052631578947	1998
"96"	61630	5065	79.140625	0	0	0	0	5065	79.140625	1998
"97"	61648	18522	71.5135135135135	8620	33.2818532818533	4121	15.9111969111969	5256	20.2934362934363	1998
"98"	61655	3519	55.8571428571429	2423	38.4603174603175	1096	17.3968253968254	0	0	1998
"99"	61663	1118	27.2682926829268	773	18.8536585365854	345	8.41463414634146	0	0	1998
"100"	61671	68	11.3333333333333	47	7.83333333333333	21	3.5	0	0	1998
"101"	61697	2114	50.3333333333333	846	20.1428571428571	487	11.5952380952381	723	17.2142857142857	1998
"102"	61705	353	35.3	226	22.6	117	11.7	0	0	1998
"103"	61713	3469	53.3692307692308	2232	34.3384615384615	1237	19.0307692307692	0	0	1998
"104"	61721	3386	89.1052631578947	0	0	0	0	3386	89.1052631578947	1998
"105"	61739	4314	44.9375	1895	19.7395833333333	1022	10.6458333333333	1370	14.2708333333333	1998
"106"	61747	1885	42.8409090909091	1180	26.8181818181818	705	16.0227272727273	0	0	1998
"107"	61754	36122	54.9802130898021	16725	25.4566210045662	7973	12.1354642313546	10019	15.2496194824962	1998
"108"	61762	4153	60.1884057971015	2711	39.2898550724638	1398	20.2608695652174	0	0	1998
"109"	61770	2422	44.0363636363636	1599	29.0727272727273	823	14.9636363636364	0	0	1998
"110"	61788	9431	61.2402597402597	4624	30.025974025974	2115	13.7337662337662	2385	15.487012987013	1998
"111"	61796	33898	48.3566333808845	16899	24.1069900142653	7153	10.2039942938659	8533	12.1726105563481	1998
"112"	61804	19822	60.6177370030581	9081	27.7706422018349	4506	13.7798165137615	5982	18.2935779816514	1998
"113"	61812	3280	42.5974025974026	2164	28.1038961038961	1116	14.4935064935065	0	0	1998
"114"	61820	5058	46.4036697247706	2260	20.7339449541284	1198	10.9908256880734	1446	13.2660550458716	1998
"115"	61838	3787	53.3380281690141	2430	34.2253521126761	1232	17.3521126760563	0	0	1998
"116"	61846	548	42.1538461538462	356	27.3846153846154	192	14.7692307692308	0	0	1998
"117"	61853	6233	95.8923076923077	0	0	0	0	6233	95.8923076923077	1998
"118"	61879	868	39.4545454545455	516	23.4545454545455	352	16	0	0	1998
"119"	61887	678	32.2857142857143	387	18.4285714285714	271	12.9047619047619	0	0	1998
"120"	61895	26	8.66666666666667	19	6.33333333333333	7	2.33333333333333	0	0	1998
"121"	61903	5793	56.7941176470588	2734	26.8039215686275	1293	12.6764705882353	1569	15.3823529411765	1998
"122"	61911	145	18.125	103	12.875	42	5.25	0	0	1998
"123"	61929	1708	50.2352941176471	1117	32.8529411764706	591	17.3823529411765	0	0	1998
"124"	61945	586	30.8421052631579	350	18.4210526315789	236	12.4210526315789	0	0	1998
