"District Code"	"District Name"	"AVG_PR_FRPM"	"Year"
"99"	"62257"	"Kingsburg Joint Union High"	0.395647168466641	2004
"100"	"62265"	"Kings Canyon Joint Unified"	0.73966941294591	2004
"101"	"62281"	"Laton Joint Unified"	0.741748615596482	2004
"102"	"62323"	"Monroe Elementary"	0.869158878504673	2004
"103"	"62331"	"Orange Center Elementary"	0.9164265129683	2004
"104"	"62356"	"Pacific Union Elementary"	0.834498834498835	2004
"105"	"62364"	"Parlier Unified"	0.747062763834103	2004
"106"	"62372"	"Pine Ridge Elementary"	0.119047619047619	2004
"107"	"62380"	"Raisin City Elementary"	0.914634146341463	2004
"108"	"62414"	"Sanger Unified"	0.70883122514798	2004
"109"	"62430"	"Selma Unified"	0.733170371592397	2004
"110"	"62513"	"Washington Colony Elementary"	0.818565400843882	2004
"111"	"62521"	"Washington Union High"	0.887873984046702	2004
"112"	"62539"	"West Park Elementary"	0.741286329100473	2004
"113"	"62547"	"Westside Elementary"	0.907534246575342	2004
"114"	"73809"	"Firebaugh-Las Deltas Joint Unified"	0.902847244634651	2004
"115"	"73965"	"Central Unified"	0.53784868916154	2004
"116"	"73999"	"Kerman Unified"	0.594207340740216	2004
"117"	"75127"	"Mendota Unified"	0.682659524191401	2004
"118"	"75234"	"Golden Plains Unified"	0.957688254063485	2004
"119"	"75275"	"Sierra Unified"	0.272970907215777	2004
"120"	"75408"	"Riverdale Joint Unified"	0.784175362192177	2004
"121"	"75598"	"Caruthers Unified"	0.830376061152131	2004
"122"	"10116"	"Glenn Co. Office of Education"	0.857629462041227	2004
"123"	"62554"	"Capay Joint Union Elementary"	0.488	2004
"124"	"62570"	"Hamilton Union Elementary"	1	2004
"125"	"62588"	"Hamilton Union High"	0.550966183574879	2004
"126"	"62596"	"Lake Elementary"	0.441176470588235	2004
"127"	"62638"	"Plaza Elementary"	0.408450704225352	2004
"128"	"62646"	"Princeton Joint Unified"	0.740674318507891	2004
"129"	"62653"	"Stony Creek Joint Unified"	0.587857744107744	2004
"130"	"62661"	"Willows Unified"	0.705244906693834	2004
"131"	"75481"	"Orland Joint Unified"	0.70943461498505	2004
"132"	"10124"	"Humboldt Co. Office of Education"	0.62921568627451	2004
"133"	"62679"	"Arcata Elementary"	0.603272429583732	2004
"134"	"62687"	"Northern Humboldt Union High"	0.321404932410411	2004
"135"	"62695"	"Big Lagoon Union Elementary"	0.530172413793103	2004
"136"	"62703"	"Blue Lake Union Elementary"	0.540983606557377	2004
"137"	"62729"	"Bridgeville Elementary"	0.65	2004
"138"	"62737"	"Cuddeback Union Elementary"	0.466101694915254	2004
"139"	"62745"	"Cutten Elementary"	0.31709079998909	2004
"140"	"62794"	"Fieldbrook Elementary"	0.254901960784314	2004
"141"	"62802"	"Fortuna Union Elementary"	0.61260738409076	2004
"142"	"62810"	"Fortuna Union High"	0.243124703651019	2004
"143"	"62828"	"Freshwater Elementary"	0.375041500664011	2004
"144"	"62836"	"Garfield Elementary"	0.0408163265306122	2004
"145"	"62851"	"Green Point Elementary"	0.666666666666667	2004
"146"	"62885"	"Hydesville Elementary"	0.394736842105263	2004
"147"	"62893"	"Jacoby Creek Elem"	0.171990171990172	2004
"148"	"62901"	"Klamath-Trinity Joint Unified"	0.588377765614223	2004
"149"	"62919"	"Kneeland Elementary"	0.0555555555555556	2004
"150"	"62927"	"Loleta Union Elementary"	0.708597883597884	2004
"151"	"62935"	"Maple Creek Elementary"	0.2	2004
"152"	"62950"	"McKinleyville Union Elementary"	0.432416539816919	2004
"153"	"62968"	"Orick Elementary"	0.596153846153846	2004
"154"	"62976"	"Pacific Union Elementary"	0.371739130434783	2004
"155"	"62984"	"Peninsula Union Elementary"	0.938461538461538	2004
"156"	"63008"	"Rio Dell Elementary"	0.812482065997131	2004
"157"	"63016"	"Rohnerville Elementary"	0.45157753254103	2004
"158"	"63024"	"Scotia Union Elementary"	0.446735395189003	2004
"159"	"63032"	"South Bay Union Elementary"	0.66668911637931	2004
"160"	"63040"	"Southern Humboldt Joint Unified"	0.528048158665829	2004
"161"	"63057"	"Trinidad Union Elementary"	0.330645161290323	2004
"162"	"75374"	"Ferndale Unified"	0.192129859305856	2004
"163"	"75382"	"Mattole Unified"	0.316761363636364	2004
"164"	"75515"	"Eureka City Unified"	0.600389166253749	2004
"165"	"10132"	"Imperial Co. Office of Education"	0.758821820294908	2004
"166"	"63073"	"Brawley Elementary"	0.713176056461293	2004
"167"	"63081"	"Brawley Union High"	0.50379971291058	2004
"168"	"63099"	"Calexico Unified"	0.815115618894924	2004
"169"	"63107"	"Calipatria Unified"	1	2004
"170"	"63115"	"Central Union High"	0.55364011611911	2004
"171"	"63123"	"El Centro Elementary"	0.736437407774552	2004
"172"	"63131"	"Heber Elementary"	0.897119341563786	2004
"173"	"63149"	"Holtville Unified"	0.648939509711262	2004
"174"	"63164"	"Imperial Unified"	0.389636625157785	2004
"175"	"63172"	"Magnolia Union Elementary"	0.307086614173228	2004
"176"	"63180"	"McCabe Union Elementary"	0.197654941373534	2004
