"CO"	"DISTRICT"	"LEA ID"	"EXPENDITURES"	"CURRENT EXPENSE ADA"	"CURRENT EXPENSE PER ADA"	"LEA TYPE"	"YEAR"
"329"	"19"	"Whittier Union High"	"65128"	"51585780"	"9903.28"	5208.96	"High School"	1998
"330"	"19"	"William S. Hart Union High"	"65136"	"75821714"	"14911.3"	5084.86	"High School"	1998
"331"	"19"	"Wilsona Elementary"	"65151"	"10794738"	"1767.57"	6107.11	"Elementary"	1998
"332"	"19"	"Wiseburn Elementary"	"65169"	"8697630"	"1679.27"	5179.41	"Elementary"	1998
"333"	"20"	"Alview-Dairyland Union Elementary"	"65177"	"1806041"	"328.93"	5490.65	"Elementary"	1998
"334"	"20"	"Bass Lake Joint Union Elementary"	"65185"	"6470899"	"1164.66"	5556.04	"Elementary"	1998
"335"	"20"	"Chawanakee Jt. Elementary"	"75135"	"6538552"	"970.72"	6735.78	"Elementary"	1998
"336"	"20"	"Chowchilla Elementary"	"65193"	"7206817"	"1526.84"	4720.09	"Elementary"	1998
"337"	"20"	"Chowchilla Union High"	"65201"	"4198052"	"780.97"	5375.43	"High School"	1998
"338"	"20"	"Coarsegold Union Elementary"	"65219"	"4971557"	"914.98"	5433.51	"Elementary"	1998
"339"	"20"	"Golden Valley Unified"	"75580"	"253065"	NA	0	"Unified"	1998
"340"	"20"	"Madera Unified"	"65243"	"78972149"	"15445.9"	5112.84	"Unified"	1998
"341"	"20"	"Minarets Joint Union High"	"75424"	"1192374"	"41.34"	28843.1	"High School"	1998
"342"	"20"	"Raymond-Knowles Union Elementary"	"65276"	"524207"	"91.03"	5758.62	"Elementary"	1998
"343"	"20"	"Yosemite Union High"	"73734"	"6813792"	"1166.75"	5839.98	"High School"	1998
"344"	"21"	"Bolinas-Stinson Union Elementary"	"65300"	"1295581"	"182.54"	7097.52	"Elementary"	1998
"345"	"21"	"Dixie Elementary"	"65318"	"10286803"	"1916.14"	5368.5	"Elementary"	1998
"346"	"21"	"Kentfield Elementary"	"65334"	"6887826"	"1061.31"	6489.93	"Elementary"	1998
"347"	"21"	"Laguna Joint Elementary"	"65342"	"111939"	"20.93"	5348.26	"Elementary"	1998
"348"	"21"	"Lagunitas Elementary"	"65359"	"2699103"	"401.85"	6716.69	"Elementary"	1998
"349"	"21"	"Larkspur Elementary"	"65367"	"5394918"	"920.64"	5859.96	"Elementary"	1998
"350"	"21"	"Lincoln Elementary"	"65375"	"102948"	"13.02"	7906.91	"Elementary"	1998
"351"	"21"	"Mill Valley Elementary"	"65391"	"14530330"	"2264.93"	6415.35	"Elementary"	1998
"352"	"21"	"Nicasio Elementary"	"65409"	"398519"	"69.3"	5750.63	"Elementary"	1998
"353"	"21"	"Novato Unified"	"65417"	"42813917"	"7581.23"	5647.36	"Unified"	1998
"354"	"21"	"Reed Union Elementary"	"65425"	"6627988"	"1025.9"	6460.66	"Elementary"	1998
"355"	"21"	"Ross Elementary"	"65433"	"3018544"	"406.26"	7430.08	"Elementary"	1998
"356"	"21"	"Ross Valley Elementary"	"75002"	"10962435"	"1735.85"	6315.31	"Elementary"	1998
"357"	"21"	"San Rafael City Elementary"	"65458"	"19054885"	"3376.83"	5642.83	"Elementary"	1998
"358"	"21"	"San Rafael City High"	"65466"	"12525023"	"1854"	6755.68	"High School"	1998
"359"	"21"	"Sausalito Elementary"	"65474"	"2878288"	"262.27"	10974.5	"Elementary"	1998
"360"	"21"	"Shoreline Unified"	"73361"	"6130300"	"758.3"	8084.27	"Unified"	1998
"361"	"21"	"Tamalpais Union High"	"65482"	"27064074"	"3117.03"	8682.65	"High School"	1998
"362"	"21"	"Union Joint Elementary"	"65516"	"164593"	"22.41"	7344.62	"Elementary"	1998
"363"	"22"	"Mariposa County Unified"	"65532"	"1.50452e+007"	"2513.46"	5985.87	"Unified"	1998
"364"	"23"	"Anderson Valley Unified"	"65540"	"4044991"	"583.65"	6930.51	"Unified"	1998
"365"	"23"	"Arena Union Elementary"	"65557"	"1819239"	"298.73"	6089.91	"Elementary"	1998
"366"	"23"	"Fort Bragg Unified"	"65565"	"13046798"	"2147.12"	6076.42	"Unified"	1998
"367"	"23"	"Laytonville Unified"	"73916"	"3678340"	"497.91"	7387.56	"Unified"	1998
"368"	"23"	"Leggett Valley Unified"	"75218"	"1764744"	"167.39"	10542.7	"Unified"	1998
"369"	"23"	"Manchester Union Elementary"	"65573"	"527140"	"83.04"	6348.03	"Elementary"	1998
"370"	"23"	"Mendocino Unified"	"65581"	"6518709"	"879.62"	7410.82	"Unified"	1998
"371"	"23"	"Point Arena Joint Union High"	"65599"	"1618210"	"189.09"	8557.88	"High School"	1998
"372"	"23"	"Potter Valley Community Unified"	"73866"	"2695912"	"359.58"	7497.39	"Unified"	1998
"373"	"23"	"Round Valley Unified"	"65607"	"3735478"	"385.12"	9699.52	"Unified"	1998
"374"	"23"	"Ukiah Unified"	"65615"	"37332492"	"6419.27"	5815.69	"Unified"	1998
"375"	"23"	"Willits Unified"	"65623"	"13389216"	"2248.42"	5954.94	"Unified"	1998
"376"	"24"	"Atwater Elementary"	"65631"	"2.19107e+007"	"4297.38"	5098.63	"Elementary"	1998
"377"	"24"	"Ballico-Cressey Elementary"	"65649"	"1.53529e+006"	"272.7"	5629.96	"Elementary"	1998
"378"	"24"	"Delhi Unified"	"75366"	"8.7853e+006"	"1850.77"	4746.84	"Unified"	1998
"379"	"24"	"Dos Palos Oro Loma Jt. Unified"	"75317"	"1.46174e+007"	"2508.49"	5827.16	"Unified"	1998
"380"	"24"	"El Nido Elementary"	"65680"	"912238"	"179.22"	5090.04	"Elementary"	1998
"381"	"24"	"Gustine Unified"	"73619"	"7.42592e+006"	"1450.52"	5119.49	"Unified"	1998
"382"	"24"	"Hilmar Unified"	"65698"	"1.18696e+007"	"2303.39"	5153.09	"Unified"	1998
"383"	"24"	"Le Grand Union Elementary"	"65722"	"2.15861e+006"	"474.66"	4547.69	"Elementary"	1998
"384"	"24"	"Le Grand Union High"	"65730"	"2.7666e+006"	"513.05"	5392.45	"High School"	1998
"385"	"24"	"Livingston Union Elementary"	"65748"	"1.04695e+007"	"2298.22"	4555.46	"Elementary"	1998
"386"	"24"	"Los Banos Unified"	"65755"	"3.01222e+007"	"5891.8"	5112.56	"Unified"	1998
"387"	"24"	"Mcswain Union Elementary"	"65763"	"3.4969e+006"	"722.11"	4842.61	"Elementary"	1998
"388"	"24"	"Merced City Elementary"	"65771"	"6.2642e+007"	"10908"	5742.73	"Elementary"	1998
"389"	"24"	"Merced River Union Elementary"	"73726"	"1.21499e+006"	"220.12"	5519.68	"Elementary"	1998
"390"	"24"	"Merced Union High"	"65789"	"4.32107e+007"	"8602.94"	5022.79	"High School"	1998
"391"	"24"	"Plainsburg Union Elementary"	"65813"	"548399"	"98.03"	5594.2	"Elementary"	1998
"392"	"24"	"Planada Elementary"	"65821"	"4.95464e+006"	"894.5"	5539	"Elementary"	1998
"393"	"24"	"Snelling-Merced Falls Union Elementary"	"65839"	"593534"	"86.61"	6852.95	"Elementary"	1998
"394"	"24"	"Weaver Union Elementary"	"65862"	"7.08995e+006"	"1254.22"	5652.88	"Elementary"	1998
"395"	"24"	"Winton Elementary"	"65870"	"8.54337e+006"	"1634.87"	5225.72	"Elementary"	1998
"396"	"25"	"Modoc Joint Unified"	"73585"	"6942795"	"1060.69"	6545.55	"Unified"	1998
"397"	"25"	"Surprise Valley Joint Unified"	"65896"	"1731439"	"207.42"	8347.5	"Unified"	1998
"398"	"25"	"Tulelake Basin Joint Unified"	"73593"	"3748843"	"601.45"	6233.01	"Unified"	1998
"399"	"26"	"Eastern Sierra Unified"	"73668"	"5.80552e+006"	"730.27"	7949.83	"Unified"	1998
