"CO"	"DISTRICT"	"LEA ID"	"EXPENDITURES"	"CURRENT EXPENSE ADA"	"CURRENT EXPENSE PER ADA"	"LEA TYPE"	"YEAR"
"3903"	"56"	"Rio Elementary"	"72561"	"2.15421e+007"	"3658"	5889.04	"Elementary"	2001
"3904"	"56"	"Santa Clara Elementary"	"72579"	"247812"	"33"	7509.46	"Elementary"	2001
"3905"	"56"	"Santa Paula Elementary"	"72587"	"2.75721e+007"	"4050"	6807.93	"Elementary"	2001
"3906"	"56"	"Santa Paula Union High"	"72595"	"1.02411e+007"	"1573"	6510.54	"High School"	2001
"3907"	"56"	"Simi Valley Unified"	"72603"	"1.27591e+008"	"20797"	6135.07	"Unified"	2001
"3908"	"56"	"Somis Union Elementary"	"72611"	"2.81899e+006"	"519"	5431.59	"Elementary"	2001
"3909"	"56"	"Ventura Unified"	"72652"	"1.02784e+008"	"17165"	5988.02	"Unified"	2001
"3910"	"56"	"Conejo Valley Unified"	"73759"	"1.33802e+008"	"20955"	6385.19	"Unified"	2001
"3911"	"56"	"Oak Park Unified"	"73874"	"2.18999e+007"	"3607"	6071.49	"Unified"	2001
"3912"	"56"	"Moorpark Unified"	"73940"	"4.85618e+007"	"7630"	6364.59	"Unified"	2001
"3913"	"57"	"Davis Joint Unified"	"72678"	"5.41528e+007"	"8489"	6379.17	"Unified"	2001
"3914"	"57"	"Esparto Unified"	"72686"	"6.3878e+006"	"840"	7604.53	"Unified"	2001
"3915"	"57"	"Washington Unified"	"72694"	"4.06035e+007"	"6295"	6450.12	"Unified"	2001
"3916"	"57"	"Winters Joint Unified"	"72702"	"1.34762e+007"	"1968"	6847.68	"Unified"	2001
"3917"	"57"	"Woodland Joint Unified"	"72710"	"6.13539e+007"	"10267"	5975.83	"Unified"	2001
"3918"	"58"	"Camptonville Elementary"	"72728"	"4.08801e+006"	"666"	6138.15	"Elementary"	2001
"3919"	"58"	"Marysville Joint Unified"	"72736"	"6.21902e+007"	"9421"	6601.23	"Unified"	2001
"3920"	"58"	"Plumas Elementary"	"72744"	"882601"	"151"	5845.04	"Elementary"	2001
"3921"	"58"	"Wheatland Elementary"	"72751"	"1.56027e+007"	"2116"	7373.7	"Elementary"	2001
"3922"	"58"	"Wheatland Union High"	"72769"	"4.86208e+006"	"668"	7278.56	"High School"	2001
"3923"	NA	NA	NA	"3.97117e+010"	"5909974"	6719.43	NA	2001
"3924"	"01"	"Alameda City Unified"	"61119"	"6.97677e+007"	"10490.9"	6650.32	"Unified"	2002
"3925"	"01"	"Albany City Unified"	"61127"	"2.14199e+007"	"3098.62"	6912.72	"Unified"	2002
"3926"	"01"	"Berkeley Unified"	"61143"	"8.20992e+007"	"8681.32"	9456.99	"Unified"	2002
"3927"	"01"	"Castro Valley Unified"	"61150"	"5.03953e+007"	"8115.6"	6209.68	"Unified"	2002
"3928"	"01"	"Emery Unified"	"61168"	"7.15337e+006"	"836.52"	8551.34	"Unified"	2002
"3929"	"01"	"Fremont Unified"	"61176"	"2.03475e+008"	"31109.1"	6540.68	"Unified"	2002
"3930"	"01"	"Hayward Unified"	"61192"	"1.59613e+008"	"23193.2"	6881.87	"Unified"	2002
"3931"	"01"	"Livermore Valley Joint Unified"	"61200"	"8.63422e+007"	"13926.1"	6200.01	"Unified"	2002
"3932"	"01"	"Mountain House Elementary"	"61218"	"422440"	"41.09"	10280.9	"Elementary"	2002
"3933"	"01"	"Newark Unified"	"61234"	"5.03042e+007"	"7336.27"	6856.92	"Unified"	2002
"3934"	"01"	"New Haven Unified"	"61242"	"8.66336e+007"	"13483.7"	6425.06	"Unified"	2002
"3935"	"01"	"Oakland Unified"	"61259"	"4.16497e+008"	"49562.4"	8403.5	"Unified"	2002
"3936"	"01"	"Piedmont City Unified"	"61275"	"2.14809e+007"	"2512.92"	8548.17	"Unified"	2002
"3937"	"01"	"San Leandro Unified"	"61291"	"5.45301e+007"	"8353.66"	6527.69	"Unified"	2002
"3938"	"01"	"San Lorenzo Unified"	"61309"	"7.44796e+007"	"11136.7"	6687.77	"Unified"	2002
"3939"	"01"	"Dublin Unified"	"75093"	"3.1593e+007"	"4223.48"	7480.32	"Unified"	2002
"3940"	"01"	"Pleasanton Unified"	"75101"	"9.26108e+007"	"13505.1"	6857.48	"Unified"	2002
"3941"	"01"	"Sunol Glen Unified"	"75119"	"1.5033e+006"	"177.98"	8446.47	"Unified"	2002
"3942"	"02"	"Alpine County Unified"	"61333"	"2.80435e+006"	"136.54"	20538.7	"Unified"	2002
"3943"	"03"	"Amador County Unified"	"73981"	"2.47222e+007"	"4398.38"	5620.74	"Unified"	2002
"3944"	"04"	"Bangor Union Elementary"	"61382"	"1.02101e+006"	"139.79"	7303.91	"Elementary"	2002
"3945"	"04"	"Biggs Unified"	"61408"	"6.21592e+006"	"861.69"	7213.64	"Unified"	2002
"3946"	"04"	"Chico Unified"	"61424"	"88745227"	"13584.1"	6533.03	"Unified"	2002
"3947"	"04"	"Durham Unified"	"61432"	"7.87765e+006"	"1205.55"	6534.49	"Unified"	2002
"3948"	"04"	"Feather Falls Union Elementary"	"61440"	"528301"	"44.96"	11750.5	"Elementary"	2002
"3949"	"04"	"Golden Feather Union Elementary"	"61457"	"1.83086e+006"	"170.66"	10728.1	"Elementary"	2002
"3950"	"04"	"Manzanita Elementary"	"61499"	"1.50999e+006"	"229.4"	6582.36	"Elementary"	2002
"3951"	"04"	"Oroville City Elementary"	"61507"	"2.23642e+007"	"3212.59"	6961.43	"Elementary"	2002
"3952"	"04"	"Oroville Union High"	"61515"	"1.83206e+007"	"2621.72"	6988.01	"High School"	2002
"3953"	"04"	"Palermo Union Elementary"	"61523"	"8.46057e+006"	"1236.33"	6843.29	"Elementary"	2002
"3954"	"04"	"Paradise Unified"	"61531"	"3.24448e+007"	"4985.36"	6508.02	"Unified"	2002
"3955"	"04"	"Thermalito Union Elementary"	"61549"	"1.13957e+007"	"1553.62"	7334.95	"Elementary"	2002
"3956"	"04"	"Pioneer Union Elementary"	"73379"	"1.15882e+006"	"144.5"	8019.55	"Elementary"	2002
"3957"	"04"	"Gridley Unified"	"75507"	"1.37886e+007"	"2118.22"	6509.54	"Unified"	2002
"3958"	"05"	"Bret Harte Union High"	"61556"	"7.76365e+006"	"902.86"	8598.95	"High School"	2002
"3959"	"05"	"Calaveras Unified"	"61564"	"2.62254e+007"	"3550.22"	7386.98	"Unified"	2002
"3960"	"05"	"Mark Twain Union Elementary"	"61572"	"5.1006e+006"	"742.26"	6871.71	"Elementary"	2002
"3961"	"05"	"Vallecito Union Elementary"	"61580"	"6.87137e+006"	"940.29"	7307.71	"Elementary"	2002
"3962"	"06"	"Colusa Unified"	"61598"	"9.85495e+006"	"1518.25"	6491	"Unified"	2002
"3963"	"06"	"Maxwell Unified"	"61606"	"3.25239e+006"	"469.17"	6932.21	"Unified"	2002
"3964"	"06"	"Pierce Joint Unified"	"61614"	"7674023"	"1205.03"	6368.33	"Unified"	2002
"3965"	"06"	"Williams Unified"	"61622"	"6.17051e+006"	"1001.25"	6162.81	"Unified"	2002
"3966"	"07"	"Acalanes Union High"	"61630"	"3.93565e+007"	"5537.17"	7107.69	"High School"	2002
"3967"	"07"	"Antioch Unified"	"61648"	"1.20087e+008"	"20248.8"	5930.57	"Unified"	2002
"3968"	"07"	"Brentwood Union Elementary"	"61655"	"3.30569e+007"	"5341.78"	6188.37	"Elementary"	2002
"3969"	"07"	"Byron Union Elementary"	"61663"	"7.71813e+006"	"1245.43"	6197.16	"Elementary"	2002
"3970"	"07"	"Canyon Elementary"	"61671"	"461695"	"62.43"	7395.41	"Elementary"	2002
"3971"	"07"	"John Swett Unified"	"61697"	"1.2136e+007"	"1793.1"	6768.19	"Unified"	2002
"3972"	"07"	"Knightsen Elementary"	"61705"	"5.09049e+006"	"864.72"	5886.86	"Elementary"	2002
"3973"	"07"	"Lafayette Elementary"	"61713"	"2.19594e+007"	"3352.51"	6550.14	"Elementary"	2002
"3974"	"07"	"Liberty Union High"	"61721"	"2.95512e+007"	"4176.83"	7075.03	"High School"	2002
"3975"	"07"	"Martinez Unified"	"61739"	"2.5892e+007"	"4166.58"	6214.2	"Unified"	2002
"3976"	"07"	"Moraga Elementary"	"61747"	"1.30125e+007"	"1782.45"	7300.32	"Elementary"	2002
"3977"	"07"	"Mt. Diablo Unified"	"61754"	"2.38879e+008"	"35855.2"	6662.33	"Unified"	2002
"3978"	"07"	"Oakley Union Elementary"	"61762"	"2.6853e+007"	"4312.57"	6226.67	"Elementary"	2002
"3979"	"07"	"Orinda Union Elementary"	"61770"	"1.71486e+007"	"2354.77"	7282.49	"Elementary"	2002
"3980"	"07"	"Pittsburg Unified"	"61788"	"5.94723e+007"	"9460.39"	6286.45	"Unified"	2002
"3981"	"07"	"West Contra Costa Unified"	"61796"	"2.39588e+008"	"32916.3"	7278.71	"Unified"	2002
"3982"	"07"	"San Ramon Valley Unified"	"61804"	"1.32083e+008"	"21029.7"	6280.79	"Unified"	2002
"3983"	"07"	"Walnut Creek Elementary"	"61812"	"2.06629e+007"	"3231.25"	6394.72	"Elementary"	2002
"3984"	"08"	"Del Norte County Unified"	"61820"	"3.16651e+007"	"3960.25"	7995.74	"Unified"	2002
"3985"	"09"	"Buckeye Union Elementary"	"61838"	"2.43682e+007"	"4093.25"	5953.27	"Elementary"	2002
"3986"	"09"	"Camino Union Elementary"	"61846"	"3.76815e+006"	"545.76"	6904.4	"Elementary"	2002
"3987"	"09"	"El Dorado Union High"	"61853"	"4.29075e+007"	"6580.52"	6520.38	"High School"	2002
"3988"	"09"	"Gold Oak Union Elementary"	"61879"	"4.9952e+006"	"735.03"	6795.91	"Elementary"	2002
"3989"	"09"	"Gold Trail Union Elementary"	"61887"	"4.10605e+006"	"636.81"	6447.84	"Elementary"	2002
"3990"	"09"	"Indian Diggings Elementary"	"61895"	"287831"	"36.53"	7879.29	"Elementary"	2002
"3991"	"09"	"Lake Tahoe Unified"	"61903"	"3.62538e+007"	"5052.47"	7175.46	"Unified"	2002
"3992"	"09"	"Latrobe Elementary"	"61911"	"1.30941e+006"	"196.3"	6670.44	"Elementary"	2002
"3993"	"09"	"Mother Lode Union Elementary"	"61929"	"1.00474e+007"	"1570.67"	6396.91	"Elementary"	2002
"3994"	"09"	"Pioneer Union Elementary"	"61945"	"3.66994e+006"	"520.34"	7052.97	"Elementary"	2002
"3995"	"09"	"Placerville Union Elementary"	"61952"	"8.55616e+006"	"1269.1"	6741.91	"Elementary"	2002
"3996"	"09"	"Pollock Pines Elementary"	"61960"	"6.0772e+006"	"835.66"	7272.33	"Elementary"	2002
"3997"	"09"	"Rescue Union Elementary"	"61978"	"1.96928e+007"	"3391.69"	5806.19	"Elementary"	2002
"3998"	"09"	"Silver Fork Elementary"	"61986"	"179720"	"13.99"	12846.3	"Elementary"	2002
"3999"	"09"	"Black Oak Mine Unified"	"73783"	"1.35195e+007"	"1960.79"	6894.9	"Unified"	2002
"4000"	"10"	"Alvina Elementary"	"61994"	"1219788"	"210.11"	5805.47	"Elementary"	2002
"4001"	"10"	"American Union Elementary"	"62000"	"2314236"	"355.75"	6505.23	"Elementary"	2002
"4002"	"10"	"Big Creek Elementary"	"62026"	"742590"	"52.16"	14236.8	"Elementary"	2002
"4003"	"10"	"Burrel Union Elementary"	"62042"	"1.00586e+006"	"131.48"	7650.26	"Elementary"	2002
"4004"	"10"	"Clay Joint Elementary"	"62109"	"1214716"	"219.59"	5531.75	"Elementary"	2002
"4005"	"10"	"Clovis Unified"	"62117"	"2.16669e+008"	"33272.9"	6511.87	"Unified"	2002
"4006"	"10"	"Coalinga/Huron Joint Unified"	"62125"	"27076353"	"4023.49"	6729.57	"Unified"	2002
"4007"	"10"	"Fowler Unified"	"62158"	"13493957"	"2197.01"	6141.96	"Unified"	2002
"4008"	"10"	"Fresno Unified"	"62166"	"5.71188e+008"	"78374.6"	7287.91	"Unified"	2002
"4009"	"10"	"West Fresno Elementary"	"62174"	"6988912"	"961.2"	7271.03	"Elementary"	2002
"4010"	"10"	"Kingsburg Joint Union Elementary"	"62240"	"12448897"	"2301.74"	5408.47	"Elementary"	2002
"4011"	"10"	"Kingsburg Joint Union High"	"62257"	"6587461"	"1002"	6574.31	"High School"	2002
"4012"	"10"	"Kings Canyon Joint Unified"	"62265"	"56271862"	"8742.4"	6436.66	"Unified"	2002
"4013"	"10"	"Laton Joint Unified"	"62281"	"5650468"	"800.6"	7057.79	"Unified"	2002
"4014"	"10"	"Monroe Elementary"	"62323"	"1391826"	"222.02"	6268.92	"Elementary"	2002
"4015"	"10"	"Orange Center Elementary"	"62331"	"2392845"	"335.49"	7132.39	"Elementary"	2002
"4016"	"10"	"Pacific Union Elementary"	"62356"	"2896136"	"409.5"	7072.37	"Elementary"	2002
"4017"	"10"	"Parlier Unified"	"62364"	"23387411"	"3358.51"	6963.63	"Unified"	2002
"4018"	"10"	"Pine Ridge Elementary"	"62372"	"1.38628e+006"	"98.78"	14034.1	"Elementary"	2002
"4019"	"10"	"Raisin City Elementary"	"62380"	"1875816"	"254.32"	7375.81	"Elementary"	2002
"4020"	"10"	"Sanger Unified"	"62414"	"52925502"	"8468.3"	6249.84	"Unified"	2002
"4021"	"10"	"Selma Unified"	"62430"	"38997969"	"5861.55"	6653.18	"Unified"	2002
"4022"	"10"	"Washington Colony Elementary"	"62513"	"2.62504e+006"	"469.98"	5585.42	"Elementary"	2002
"4023"	"10"	"Washington Union High"	"62521"	"8256006"	"1189.26"	6942.14	"High School"	2002
"4024"	"10"	"West Park Elementary"	"62539"	"4478431"	"623.84"	7178.81	"Elementary"	2002
"4025"	"10"	"Westside Elementary"	"62547"	"2588297"	"335.22"	7721.19	"Elementary"	2002
"4026"	"10"	"Firebaugh-Las Deltas Unified"	"73809"	"15759593"	"2431.92"	6480.31	"Unified"	2002
"4027"	"10"	"Central Unified"	"73965"	"69123974"	"11078.9"	6239.26	"Unified"	2002
"4028"	"10"	"Kerman Unified"	"73999"	"22850414"	"3597.37"	6351.98	"Unified"	2002
"4029"	"10"	"Mendota Unified"	"75127"	"14777861"	"1971.42"	7496.05	"Unified"	2002
"4030"	"10"	"Golden Plains Unified"	"75234"	"16897977"	"1960.59"	8618.82	"Unified"	2002
"4031"	"10"	"Sierra Unified"	"75275"	"2.0194e+007"	"2312.07"	8734.15	"Unified"	2002
"4032"	"10"	"Riverdale Joint Unified"	"75408"	"9818104"	"1580.3"	6212.81	"Unified"	2002
"4033"	"10"	"Caruthers Unified"	"75598"	"9.03996e+006"	"1330.39"	6794.97	"Unified"	2002
"4034"	"11"	"Capay Joint Union Elementary"	"62554"	"688075"	"125.24"	5494.05	"Elementary"	2002
"4035"	"11"	"Hamilton Union Elementary"	"62570"	"2.88365e+006"	"451.85"	6381.88	"Elementary"	2002
"4036"	"11"	"Hamilton Union High"	"62588"	"2.71572e+006"	"313.82"	8653.77	"High School"	2002
"4037"	"11"	"Lake Elementary"	"62596"	"743951"	"128.84"	5774.22	"Elementary"	2002
"4038"	"11"	"Plaza Elementary"	"62638"	"796439"	"143.51"	5549.71	"Elementary"	2002
"4039"	"11"	"Princeton Joint Unified"	"62646"	"2.1351e+006"	"211.88"	10076.9	"Unified"	2002
"4040"	"11"	"Stony Creek Joint Unified"	"62653"	"1.80391e+006"	"144.19"	12510.6	"Unified"	2002
"4041"	"11"	"Willows Unified"	"62661"	"1.08765e+007"	"1804.82"	6026.37	"Unified"	2002
"4042"	"11"	"Orland Joint Unified"	"75481"	"1.5333e+007"	"2297.96"	6672.46	"Unified"	2002
"4043"	"12"	"Arcata Elementary"	"62679"	"5.83609e+006"	"817.57"	7138.33	"Elementary"	2002
"4044"	"12"	"Northern Humboldt Union High"	"62687"	"1.28192e+007"	"1846.35"	6943.01	"High School"	2002
"4045"	"12"	"Big Lagoon Union Elementary"	"62695"	"1.34224e+006"	"199.88"	6715.25	"Elementary"	2002
"4046"	"12"	"Blue Lake Union Elementary"	"62703"	"1.45371e+006"	"186.99"	7774.25	"Elementary"	2002
"4047"	"12"	"Bridgeville Elementary"	"62729"	"668846"	"55.56"	12038.3	"Elementary"	2002
"4048"	"12"	"Cuddeback Union Elementary"	"62737"	"970151"	"134.15"	7231.84	"Elementary"	2002
"4049"	"12"	"Cutten Elementary"	"62745"	"3.01838e+006"	"487.73"	6188.63	"Elementary"	2002
"4050"	"12"	"Fieldbrook Elementary"	"62794"	"714990"	"100.8"	7093.15	"Elementary"	2002
"4051"	"12"	"Fortuna Union Elementary"	"62802"	"5.19106e+006"	"821.71"	6317.38	"Elementary"	2002
"4052"	"12"	"Fortuna Union High"	"62810"	"7.4852e+006"	"1106.87"	6762.49	"High School"	2002
"4053"	"12"	"Freshwater Elementary"	"62828"	"1.90151e+006"	"296.02"	6423.57	"Elementary"	2002
"4054"	"12"	"Garfield Elementary"	"62836"	"423299"	"52.49"	8064.38	"Elementary"	2002
"4055"	"12"	"Green Point Elementary"	"62851"	"175136"	"11.76"	14892.5	"Elementary"	2002
"4056"	"12"	"Hydesville Elementary"	"62885"	"1.05858e+006"	"161.23"	6565.68	"Elementary"	2002
"4057"	"12"	"Jacoby Creek Elementary"	"62893"	"2.53044e+006"	"416.1"	6081.32	"Elementary"	2002
"4058"	"12"	"Klamath-Trinity Joint Unified"	"62901"	"1.17479e+007"	"1004.61"	11694	"Unified"	2002
"4059"	"12"	"Kneeland Elementary"	"62919"	"350302"	"38.12"	9189.44	"Elementary"	2002
"4060"	"12"	"Loleta Union Elementary"	"62927"	"2.91533e+006"	"428.31"	6806.6	"Elementary"	2002
"4061"	"12"	"Maple Creek Elementary"	"62935"	"231228"	"18.81"	12292.8	"Elementary"	2002
"4062"	"12"	"Mckinleyville Union Elementary"	"62950"	"8.75076e+006"	"1301.74"	6722.35	"Elementary"	2002
"4063"	"12"	"Orick Elementary"	"62968"	"586341"	"49.45"	11857.2	"Elementary"	2002
"4064"	"12"	"Pacific Union Elementary"	"62976"	"3.55255e+006"	"529.94"	6703.69	"Elementary"	2002
"4065"	"12"	"Peninsula Union Elementary"	"62984"	"707322"	"85.78"	8245.77	"Elementary"	2002
"4066"	"12"	"Rio Dell Elementary"	"63008"	"2.20547e+006"	"292.15"	7549.09	"Elementary"	2002
"4067"	"12"	"Rohnerville Elementary"	"63016"	"3.61134e+006"	"561.75"	6428.73	"Elementary"	2002
"4068"	"12"	"Scotia Union Elementary"	"63024"	"2.02764e+006"	"322.23"	6292.53	"Elementary"	2002
"4069"	"12"	"South Bay Union Elementary"	"63032"	"3.63429e+006"	"479.92"	7572.7	"Elementary"	2002
"4070"	"12"	"Southern Humboldt Joint Unified"	"63040"	"9.10759e+006"	"1037.99"	8774.25	"Unified"	2002
"4071"	"12"	"Trinidad Union Elementary"	"63057"	"852669"	"106.83"	7981.55	"Elementary"	2002
"4072"	"12"	"Ferndale Unified"	"75374"	"3.55446e+006"	"457.08"	7776.46	"Unified"	2002
"4073"	"12"	"Mattole Unified"	"75382"	"5.89802e+006"	"857.22"	6880.4	"Unified"	2002
"4074"	"12"	"Eureka City Unified"	"75515"	"3.54779e+007"	"4938.56"	7183.86	"Unified"	2002
"4075"	"13"	"Brawley Elementary"	"63073"	"2.45338e+007"	"3669.43"	6685.99	"Elementary"	2002
"4076"	"13"	"Brawley Union High"	"63081"	"12603740"	"1774.79"	7101.54	"High School"	2002
"4077"	"13"	"Calexico Unified"	"63099"	"5.91305e+007"	"8739.27"	6766.07	"Unified"	2002
"4078"	"13"	"Calipatria Unified"	"63107"	"8.84725e+006"	"1253.37"	7058.77	"Unified"	2002
"4079"	"13"	"Central Union High"	"63115"	"2.44534e+007"	"3829.58"	6385.4	"High School"	2002
"4080"	"13"	"El Centro Elementary"	"63123"	"4.21075e+007"	"6202.65"	6788.63	"Elementary"	2002
"4081"	"13"	"Heber Elementary"	"63131"	"4.49724e+006"	"737.73"	6096.05	"Elementary"	2002
"4082"	"13"	"Holtville Unified"	"63149"	"1.28767e+007"	"1941.26"	6633.15	"Unified"	2002
"4083"	"13"	"Imperial Unified"	"63164"	"1.61662e+007"	"2683.85"	6023.52	"Unified"	2002
"4084"	"13"	"Magnolia Union Elementary"	"63172"	"716397"	"115.64"	6195.06	"Elementary"	2002
"4085"	"13"	"Mccabe Union Elementary"	"63180"	"3.08179e+006"	"525.41"	5865.5	"Elementary"	2002
"4086"	"13"	"Meadows Union Elementary"	"63198"	"3.07472e+006"	"503.89"	6101.96	"Elementary"	2002
"4087"	"13"	"Mulberry Elementary"	"63206"	"726344"	"87.03"	8345.9	"Elementary"	2002
"4088"	"13"	"San Pasqual Valley Unified"	"63214"	"8.98071e+006"	"734.48"	12227.3	"Unified"	2002
"4089"	"13"	"Seeley Union Elementary"	"63222"	"3.62186e+006"	"594.76"	6089.61	"Elementary"	2002
"4090"	"13"	"Westmorland Union Elementary"	"63230"	"2.73427e+006"	"417.27"	6552.77	"Elementary"	2002
"4091"	"14"	"Big Pine Unified"	"63248"	"2.20491e+006"	"215.8"	10217.4	"Unified"	2002
"4092"	"14"	"Bishop Union Elementary"	"63255"	"9.63693e+006"	"1462.59"	6588.95	"Elementary"	2002
"4093"	"14"	"Bishop Joint Union High"	"63263"	"6.29705e+006"	"756.21"	8327.12	"High School"	2002
"4094"	"14"	"Death Valley Unified"	"63271"	"1.43642e+006"	"75.78"	18955.1	"Unified"	2002
"4095"	"14"	"Lone Pine Unified"	"63289"	"5.06411e+006"	"405.86"	12477.5	"Unified"	2002
"4096"	"14"	"Owens Valley Unified"	"63297"	"1.72171e+006"	"110.12"	15634.9	"Unified"	2002
"4097"	"14"	"Round Valley Joint Elementary"	"63305"	"806791"	"98.65"	8178.32	"Elementary"	2002
"4098"	"15"	"Arvin Union Elementary"	"63313"	"1.74014e+007"	"2737.48"	6356.71	"Elementary"	2002
"4099"	"15"	"Bakersfield City Elementary"	"63321"	"1.9756e+008"	"27403.3"	7209.35	"Elementary"	2002
"4100"	"15"	"Beardsley Elementary"	"63339"	"1.04977e+007"	"1670.95"	6282.49	"Elementary"	2002
"4101"	"15"	"Belridge Elementary"	"63347"	"814987"	"27.86"	29252.9	"Elementary"	2002
"4102"	"15"	"Blake Elementary"	"63354"	"107060"	"16.8"	6372.65	"Elementary"	2002
"4103"	"15"	"Panama Buena Vista Union Elementary"	"63362"	"8.61724e+007"	"13101.9"	6577.09	"Elementary"	2002
"4104"	"15"	"Buttonwillow Union Elementary"	"63370"	"2.85993e+006"	"381.26"	7501.27	"Elementary"	2002
"4105"	"15"	"Caliente Union Elementary"	"63388"	"733261"	"108.31"	6770.02	"Elementary"	2002
"4106"	"15"	"Delano Union Elementary"	"63404"	"4.45687e+007"	"6888.02"	6470.47	"Elementary"	2002
"4107"	"15"	"Delano Joint Union High"	"63412"	"2.64999e+007"	"3721.63"	7120.5	"High School"	2002
"4108"	"15"	"Di Giorgio Elementary"	"63420"	"1.46912e+006"	"252.2"	5825.22	"Elementary"	2002
"4109"	"15"	"Edison Elementary"	"63438"	"4.93563e+006"	"859.39"	5743.17	"Elementary"	2002
"4110"	"15"	"Elk Hills Elementary"	"63446"	"801180"	"55.36"	14472.2	"Elementary"	2002
"4111"	"15"	"Fairfax Elementary"	"63461"	"8.49088e+006"	"1458.55"	5821.45	"Elementary"	2002
"4112"	"15"	"Fruitvale Elementary"	"63479"	"1.7653e+007"	"3006.17"	5872.25	"Elementary"	2002
"4113"	"15"	"General Shafter Elementary"	"63487"	"1.47527e+006"	"238.84"	6176.81	"Elementary"	2002
"4114"	"15"	"Greenfield Union Elementary"	"63503"	"4.46362e+007"	"7216.64"	6185.18	"Elementary"	2002
"4115"	"15"	"Kern Union High"	"63529"	"203416471"	"30684.8"	6629.22	"High School"	2002
"4116"	"15"	"Kernville Union Elementary"	"63545"	"6.80052e+006"	"900.16"	7554.79	"Elementary"	2002
"4117"	"15"	"Lakeside Union Elementary"	"63552"	"6.44235e+006"	"1156.23"	5571.86	"Elementary"	2002
"4118"	"15"	"Lamont Elementary"	"63560"	"1.89779e+007"	"2708.04"	7007.97	"Elementary"	2002
"4119"	"15"	"Richland-Lerdo Union Elementary"	"63578"	"1.79795e+007"	"2786.78"	6451.71	"Elementary"	2002
"4120"	"15"	"Linns Valley-Poso Flat Union"	"63586"	"460856"	"62.29"	7398.55	"Elementary"	2002
"4121"	"15"	"Lost Hills Union Elementary"	"63594"	"3.7737e+006"	"531.46"	7100.64	"Elementary"	2002
"4122"	"15"	"Maple Elementary"	"63610"	"1.31492e+006"	"264.59"	4969.66	"Elementary"	2002
"4123"	"15"	"Maricopa Unified"	"63628"	"2.81667e+006"	"338.67"	8316.86	"Unified"	2002
"4124"	"15"	"Mckittrick Elementary"	"63651"	"818789"	"60.16"	13610.2	"Elementary"	2002
"4125"	"15"	"Midway Elementary"	"63669"	"1.33792e+006"	"95.86"	13957	"Elementary"	2002
"4126"	"15"	"Mojave Unified"	"63677"	"1.6804e+007"	"2503.62"	6711.87	"Unified"	2002
"4127"	"15"	"Muroc Joint Unified"	"63685"	"1.88563e+007"	"2280.39"	8268.87	"Unified"	2002
"4128"	"15"	"Norris Elementary"	"63693"	"9.94889e+006"	"1844.01"	5395.25	"Elementary"	2002
"4129"	"15"	"Pond Union Elementary"	"63719"	"1.24964e+006"	"184.87"	6759.55	"Elementary"	2002
"4130"	"15"	"Rosedale Union Elementary"	"63750"	"2.30639e+007"	"3971.97"	5806.67	"Elementary"	2002
"4131"	"15"	"Semitropic Elementary"	"63768"	"1.50017e+006"	"242.1"	6196.48	"Elementary"	2002
"4132"	"15"	"Southern Kern Unified"	"63776"	"1.85239e+007"	"3076.79"	6020.54	"Unified"	2002
"4133"	"15"	"South Fork Union Elementary"	"63784"	"2.55314e+006"	"380.8"	6704.68	"Elementary"	2002
"4134"	"15"	"Standard Elementary"	"63792"	"1.6963e+007"	"2448.17"	6928.84	"Elementary"	2002
"4135"	"15"	"Taft City Elementary"	"63800"	"1.34901e+007"	"2058.83"	6552.31	"Elementary"	2002
"4136"	"15"	"Taft Union High"	"63818"	"1.33412e+007"	"922.13"	14467.8	"High School"	2002
"4137"	"15"	"Tehachapi Unified"	"63826"	"2.91982e+007"	"4663.92"	6260.43	"Unified"	2002
"4138"	"15"	"Vineland Elementary"	"63834"	"5.61672e+006"	"869.27"	6461.43	"Elementary"	2002
"4139"	"15"	"Wasco Union Elementary"	"63842"	"1.82808e+007"	"2907.53"	6287.39	"Elementary"	2002
"4140"	"15"	"Wasco Union High"	"63859"	"9.77884e+006"	"1315.15"	7435.53	"High School"	2002
"4141"	"15"	"Rio Bravo-Greeley Union Elementary"	"73544"	"4.50463e+006"	"733.78"	6138.93	"Elementary"	2002
"4142"	"15"	"Sierra Sands Unified"	"73742"	"3.68734e+007"	"5394.32"	6835.6	"Unified"	2002
"4143"	"15"	"Mcfarland Unified"	"73908"	"2.00677e+007"	"2742.42"	7317.51	"Unified"	2002
"4144"	"15"	"El Tejon Unified"	"75168"	"8.97712e+006"	"1330.17"	6748.85	"Unified"	2002
"4145"	"16"	"Armona Union Elementary"	"63875"	"5.55138e+006"	"983.75"	5643.08	"Elementary"	2002
"4146"	"16"	"Central Union Elementary"	"63883"	"1.63979e+007"	"1992.38"	8230.32	"Elementary"	2002
"4147"	"16"	"Corcoran Joint Unified"	"63891"	"1.94643e+007"	"3109.51"	6259.61	"Unified"	2002
"4148"	"16"	"Delta View Joint Union Elementary"	"63909"	"613847"	"91.31"	6722.67	"Elementary"	2002
"4149"	"16"	"Hanford Elementary"	"63917"	"3.32183e+007"	"5086.46"	6530.74	"Elementary"	2002
"4150"	"16"	"Hanford Joint Union High"	"63925"	"2.18963e+007"	"3628.55"	6034.45	"High School"	2002
"4151"	"16"	"Island Union Elementary"	"63933"	"1.64745e+006"	"230.43"	7149.48	"Elementary"	2002
