"Year"	"District Code"	"County Name"	"District Name"	"mean"	"mean_PRadvanced"	"mean_PRproficient"	"mean_PRbasic"	"mean_PRbelowbasic
means"
"1"	2003	0	"State of California"	""	2216.87050163577	13.139040348964	13.1982006543075	15.8368320610687	13.4608778625954
"2"	2003	10017	"Alameda"	"Alameda Co. Office of Education"	1208.72777777778	2.13888888888889	3.43333333333333	7.77777777777778	8.91666666666667
"3"	2003	31609	"Alameda"	"Calif. School for the Blind"	37.3191489361702	1.36170212765957	1.36170212765957	1.36170212765957	1.36170212765957
"4"	2003	31617	"Alameda"	"Calif. School for the Deaf"	1906.9793814433	2.75257731958763	5.92783505154639	6.25773195876289	8.25773195876289
"5"	2003	61119	"Alameda"	"Alameda City Unified"	2480.07720588235	9.76960784313725	11.094362745098	11.1041666666667	9.26838235294118
"6"	2003	61127	"Alameda"	"Albany City Unified"	2542.55592105263	13.1480263157895	13.5986842105263	10.0164473684211	15.6907894736842
"7"	2003	61143	"Alameda"	"Berkeley Unified"	2376.89520958084	10.2035928143713	8.75748502994012	8.65269461077844	10.0104790419162
"8"	2003	61150	"Alameda"	"Castro Valley Unified"	2554.29227941176	11.1654411764706	12.4375	10.2628676470588	10.5404411764706
"9"	2003	61168	"Alameda"	"Emery Unified"	2315.45901639344	5.7103825136612	7.07650273224044	14.5027322404372	14.6830601092896
"10"	2003	61176	"Alameda"	"Fremont Unified"	2777.21318822023	11.6005121638924	10.6101152368758	10.5569782330346	10.7996158770807
"11"	2003	61192	"Alameda"	"Hayward Unified"	2472.78209191759	9.79397781299525	9.38272583201268	12.0467511885895	10.2171156893819
"12"	2003	61200	"Alameda"	"Livermore Valley Joint Unified"	2631.24380704042	10.7027379400261	12.0495436766623	10.4224250325945	10.7053455019557
"13"	2003	61218	"Alameda"	"Mountain House Elementary"	1	1.36363636363636	1.36363636363636	1.36363636363636	1.36363636363636
"14"	2003	61234	"Alameda"	"Newark Unified"	2315.75	11.427304964539	9.48758865248227	10.9131205673759	8.33687943262411
"15"	2003	61242	"Alameda"	"New Haven Unified"	2324.44202898551	10.8514492753623	10.6920289855072	11.7065217391304	8.32246376811594
"16"	2003	61259	"Alameda"	"Oakland Unified"	2560.22995976478	7.52274837511606	10.5270813989477	10.6511915815537	11.8099659548128
"17"	2003	61275	"Alameda"	"Piedmont City Unified"	2629.98943661972	14.3978873239437	14.5528169014085	9.68661971830986	9.30281690140845
"18"	2003	61291	"Alameda"	"San Leandro Unified"	2428.79962192817	9.45746691871456	10.2192816635161	12.0132325141777	9.18147448015123
"19"	2003	61309	"Alameda"	"San Lorenzo Unified"	2283.23366013072	11.3970588235294	8.57679738562092	11.2892156862745	9.79411764705882
"20"	2003	75093	"Alameda"	"Dublin Unified"	2593.64109589041	10.2328767123288	13.8712328767123	12.1315068493151	11.6684931506849
